Code,Unite,Pays,Population,NbJoueurs,TauxPar100k,QL,LisaIi,LisaZ,LisaP,Grappe
PE,Ile-du-Prince-Edouard,Canada,154331,34,22.0305706565758,11.450093462108839,0.4437882498250581,0.566121208070837,0.229,Non significatif
UT,Utah,USA,3271616,5,0.1528296719419394,0.07943117111205268,0.16950194028621315,1.120198453069158,0.006,Bas-Bas (grappe froide)
WY,Wyoming,USA,576851,0,0,0,0.15267236709289245,0.9615110010975286,0.142,Non significatif
NV,Nevada,USA,3104614,1,0.032210123384098635,0.016740779388930753,0.1753857278477286,1.0260847725566153,0.029,Bas-Bas (grappe froide)
CO,Colorado,USA,5773714,22,0.38103723184071814,0.1980389879649891,0.15881673113927666,1.0280441293941116,0.011,Bas-Bas (grappe froide)
SD,Dakota du Sud,USA,886667,3,0.3383457374640085,0.1758506566561715,0.09544114414152473,0.5761784969525903,0.364,Non significatif
NE,Nebraska,USA,1961504,5,0.2549064391405778,0.13248420105639822,0.10563963470250841,0.7146635312930248,0.252,Non significatif
KS,Kansas,USA,2937880,0,0,0,0.17119061756040582,0.9590761857498359,0.089,Non significatif
OK,Oklahoma,USA,3959353,5,0.12628325890619,0.06563402917318292,0.17232586023510676,1.0272664540932166,0.016,Bas-Bas (grappe froide)
IA,Iowa,USA,3190369,4,0.12537734663294434,0.06516319342594648,0.11276950759813444,0.8276502508940559,0.223,Non significatif
MO,Missouri,USA,6154913,27,0.43867395038727597,0.227994898980411,0.15185328893174055,0.9629874929704944,0.078,Non significatif
WI,Wisconsin,USA,5893718,41,0.6956559509633817,0.36155784524017276,-0.036706153182194945,-0.2195431900236419,0.303,Non significatif
IL,Illinois,USA,12812508,79,0.6165849808640119,0.32046176961458933,0.12652585530007912,0.9695427021346896,0.135,Non significatif
KY,Kentucky,USA,4505836,0,0,0,0.17153333202635368,0.9070518969386246,0.096,Non significatif
AR,Arkansas,USA,3011524,0,0,0,0.1774937393596805,1.0611244490652165,0.021,Bas-Bas (grappe froide)
TN,Tennessee,USA,6910840,0,0,0,0.1807644903828345,1.183089043893093,0.001,Bas-Bas (grappe froide)
WV,Virginie-Occidentale,USA,1793716,0,0,0,0.17453329330091807,1.1123503899974638,0.02,Bas-Bas (grappe froide)
IN,Indiana,USA,6785528,13,0.19158420685906832,0.09957332057331665,0.1466761776274778,0.9432844467681425,0.146,Non significatif
