Code,Unite,Pays,Population,NbJoueurs,TauxPar100k,LogTaux,Latitude,Aire_km2,DensitePop,DistCote_km,DistLNH_km
WA,Washington,USA,7705281,16,0.207649792395631,-1.5214976735649963,47.37727786550851,174112.23546754947,44.25467847971022,135.9064682604007,136.97438503547633
BC,Colombie-Britannique,Canada,5000879,423,8.458512993415757,2.1364416941092914,54.51659787072606,945607.4017289495,5.28853622640473,255.23149743268104,616.5146662535263
ID,Idaho,USA,1839106,2,0.10874848975534851,-2.124578913508667,44.353120166199446,216253.64867716157,8.504392925853217,668.637308929141,473.41374272511985
MT,Montana,USA,1084225,1,0.09223177845926814,-2.273351011718733,47.038255014869435,379493.827810195,2.857029338939021,902.3934638789151,562.391440134141
AB,Alberta,Canada,4262635,669,15.694517592991192,2.753995202501874,54.95356382827326,663748.9893866157,6.422058742325453,822.1392956528703,172.79705997215896
SK,Saskatchewan,Canada,1132505,541,47.77020852005069,3.866626884288835,54.16547881356276,650874.109603367,1.7399754934024516,841.2868086609169,485.94428020958145
ND,Dakota du Nord,USA,779094,21,2.6954385478517353,0.9955355811202894,47.44206207608744,182745.48582735783,4.263273571288217,1211.2367783742432,370.1604656833008
MB,Manitoba,Canada,1342153,413,30.771454521205854,3.426936253298999,54.788136732185954,627814.2796694657,2.137818529241836,375.12707527358316,570.6619008715165
MN,Minnesota,USA,5706494,315,5.5200268325875745,1.7103255299749627,46.26976192613262,217853.0593374915,26.194233936185714,1095.2887173059178,179.44474463554116
ON,Ontario,Canada,14223942,2447,17.203388484008162,2.845730166926586,50.29696944702793,986810.0415258954,14.414062890975094,341.98666135024723,773.7398131869203
MI,Michigan,USA,10077331,207,2.054115320812624,0.7250576337169979,44.32212212097113,151673.1430589979,66.44110352536252,799.9635861307887,295.3582459968538
OH,Ohio,USA,11799448,36,0.30509901819135943,-1.1525391565976566,40.28948572062185,107007.36011876595,110.2676300667913,490.88031731674965,42.010444092020926
PA,Pennsylvanie,USA,13002700,41,0.3153191260276712,-1.120692553191571,40.87745325661592,117358.52753150386,110.79467571293053,208.55784362573792,182.09170115459753
NY,New York,USA,20201249,150,0.7425283456483309,-0.28334067482511716,42.94958611148358,126547.84743925607,159.63328818924995,234.5617488417435,257.2031061265875
QC,Quebec,Canada,8501833,892,10.491855109362886,2.3516218829463496,52.97048176436954,1505507.758456802,5.647153229362747,438.2339278633948,885.7675311389041
VT,Vermont,USA,643077,2,0.3110047474874704,-1.1340129794273301,44.069623040750855,24636.650817188536,26.10245218685882,172.58509049921605,181.99514318944279
NH,New Hampshire,USA,1377529,15,1.088906295257668,0.09498383198470503,43.683282371278366,24266.47240908728,56.7667593697774,89.7607332158091,161.4247229150432
ME,Maine,USA,1362359,9,0.6606188236727617,-0.39845929961846704,45.37499409130105,84258.0316469225,16.1688918358415,101.5445488121187,318.4819358268891
NB,Nouveau-Brunswick,Canada,775610,54,6.962261961552842,1.9420450810458512,46.617510971216014,72782.7621442932,10.656506803937154,94.8298449390634,540.1123345927846
AZ,Arizona,USA,7151502,9,0.1258476890588858,-1.9908266726586767,34.27634284026001,295065.02001023886,24.23703765275816,367.7118660379254,373.44278338672115
CA,Californie,USA,39538223,56,0.14163509574013988,-1.881444316349053,37.18415300734162,409742.5823929121,96.49527459190423,200.29392641793933,204.04711362023087
NM,Nouveau-Mexique,USA,2117522,0,0,-4.5342662753427465,34.41001180465174,315076.4296155229,6.720661404548542,723.8361899332688,632.91889221896
TX,Texas,USA,29145505,14,0.04803485134328604,-2.8341300191520764,31.490921738067225,685340.3594764578,42.52705184656673,405.9606510088657,272.2666223037409
AK,Alaska,USA,733391,15,2.0452937109945446,0.7207762053303227,63.817108966826936,1505330.4058018012,0.48719603163092,290.3557589078969,2398.5799430330035
YT,Yukon,Canada,40232,2,4.971167230065619,1.6058117479947303,63.407914697694984,484479.78294959624,0.08304164882807011,434.73192975337304,1668.1091280499838
LA,Louisiane,USA,4657757,1,0.021469561421946226,-3.4356539866746365,31.07454625244359,119548.25452791022,38.961313307276946,143.47488331852054,475.73256353473516
MS,Mississippi,USA,2961279,1,0.03376919229832785,-3.112176812687377,32.748582740636245,123806.28892618578,23.918647636434176,278.8885940755187,471.8760181428178
AL,Alabama,USA,5024279,3,0.05971005989118041,-2.652925278207067,32.77842230103629,133835.02513407133,37.540838020292895,256.51041207015936,395.3797495501221
FL,Floride,USA,21538187,21,0.0975012427926269,-2.2234410335660715,28.641247888542665,146720.64932385442,146.79724428194876,20.835333942101006,79.24808472208422
GA,Georgie,USA,10711908,3,0.028006215139263706,-3.2508569153389253,32.6451393909399,152164.01822553104,70.3971157236612,227.56089491727855,503.764767244728
SC,Caroline du Sud,USA,5118425,2,0.03907451999394345,-2.999553551246318,33.91698813025374,80163.70929454245,63.84965272993502,154.50666745927015,292.7776442506552
NC,Caroline du Nord,USA,10439388,6,0.05747463357047367,-2.685172684341869,35.559017021901106,127661.4676394725,81.77399330455587,196.3780076138549,69.38992387763228
VA,Virginie,USA,8631393,8,0.0926849235111876,-2.2689597719856556,37.52317893879132,103724.82370967118,83.21434244284205,135.6983828603321,205.44165014244112
DC,District de Columbia,USA,689545,2,0.2900463349020006,-1.2013724694192087,38.90971467145438,162.2438835427105,4250.052359098506,2.7478866120796894,1.8772940433249905
MD,Maryland,USA,6177224,5,0.08094250750822699,-2.3894806052140742,39.052862119901974,25462.100018481076,242.60465537078264,18.603934947234553,26.725631919222117
DE,Delaware,USA,989948,1,0.10101540686985579,-2.1914893669142175,38.995182023778,5171.650743971956,191.41818521946348,13.12263386819172,116.18322494397364
NJ,New Jersey,USA,9288994,32,0.34449370943721136,-1.0349940623301526,40.18836650927179,19667.488198115047,472.30199944344025,40.50265347716399,48.57002318209137
CT,Connecticut,USA,3605944,36,0.9983516105630037,0.00904535839401665,41.62420783645915,12704.644822395469,283.82879257226625,41.90037665268375,133.696708891239
RI,Rhode Island,USA,1097379,23,2.095903056282287,0.7450932344254626,41.676295816966686,2832.361855378168,387.4430796743947,11.574930839665539,89.6985780239598
MA,Massachusetts,USA,7029917,225,3.20060677814546,1.1666887809409674,42.2586286067495,21161.481664100567,332.2034397962745,59.169390416716986,58.78362783174927
OR,Oregon,USA,4237256,8,0.1888014318700593,-1.6117595424274769,43.93397448034003,251885.56992035985,16.8221466650103,268.96833764093196,452.79040565335595
NU,Nunavut,Canada,36858,0,0,-4.5342662753427465,69.19094793021618,2079897.5251228192,0.017721065367306263,10.617752765188827,2115.568321737262
NL,Terre-Neuve-et-Labrador,Canada,510550,32,6.267750465184605,1.8371287485031438,52.70524439109674,403322.52895775466,1.2658603557786297,65.71206964544824,1250.1056463925581
NS,Nouvelle-Ecosse,Canada,969383,86,8.87162246501125,2.1840669773763244,45.154110006669306,55108.286379763565,17.590512492436513,21.431361780930548,670.4318855240898
NT,Territoires du Nord-Ouest,Canada,41070,5,12.174336498660823,2.500211536823851,65.60524276261535,1289464.0054322334,0.031850443150782774,280.4525816114166,1372.0555340797482
HI,Hawai,USA,1455271,0,0,-4.5342662753427465,20.25869159792938,16848.041141744572,86.37627293028503,37.79964064299691,3752.7163238506487
PE,Ile-du-Prince-Edouard,Canada,154331,34,22.0305706565758,3.0929182128975783,46.400982778145504,5732.93904217442,26.92004901232379,5.446386974785476,755.0131418191722
UT,Utah,USA,3271616,5,0.1528296719419394,-1.810548160495322,39.30855372140248,219762.25861140885,14.887069420709693,821.6048527389909,172.26373697328546
WY,Wyoming,USA,576851,0,0,-4.5342662753427465,42.992552363916865,253484.0897651783,2.275689178497874,1208.6187410046803,429.07518027241474
NV,Nevada,USA,3104614,1,0.032210123384098635,-3.1478372849700342,39.327442529865415,287085.0857243749,10.81426432225282,428.6339908767471,391.35272876483464
CO,Colorado,USA,5773714,22,0.38103723184071814,-0.9370752090203694,38.99642366998936,269201.26593196514,21.447573732655414,1119.1606295576535,98.51489700802234
SD,Dakota du Sud,USA,886667,3,0.3383457374640085,-1.0524526722863246,44.442878052152324,199304.54585479238,4.448804698343411,1539.9974911452125,535.4312518742379
NE,Nebraska,USA,1961504,5,0.2549064391405778,-1.3256086781971783,41.53606438578824,200968.49620597923,9.760256144772015,1442.1665529276002,464.95502026657954
KS,Kansas,USA,2937880,0,0,-4.5342662753427465,38.49136162579464,212824.80335047183,13.804218088067538,1065.6132564714774,558.2497631146132
OK,Oklahoma,USA,3959353,5,0.12628325890619,-1.9876426857848537,35.59300055483576,180638.58907295053,21.918644406600315,719.5394521688884,334.4345281636417
