CodeProv,NomUnite,Pays,Population,AnneeRecensement,Source,URL_source,DateVerification
MA,Massachusetts,USA,7029917,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
MI,Michigan,USA,10077331,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
MN,Minnesota,USA,5706494,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
MS,Mississippi,USA,2961279,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
MO,Missouri,USA,6154913,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
MT,Montana,USA,1084225,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NE,Nebraska,USA,1961504,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NV,Nevada,USA,3104614,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NH,New Hampshire,USA,1377529,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NJ,New Jersey,USA,9288994,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NM,Nouveau-Mexique,USA,2117522,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NY,New York,USA,20201249,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
NC,Caroline du Nord,USA,10439388,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
ND,Dakota du Nord,USA,779094,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
OH,Ohio,USA,11799448,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
OK,Oklahoma,USA,3959353,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
OR,Oregon,USA,4237256,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
PA,Pennsylvanie,USA,13002700,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
RI,Rhode Island,USA,1097379,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
SC,Caroline du Sud,USA,5118425,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
SD,Dakota du Sud,USA,886667,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
TN,Tennessee,USA,6910840,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
TX,Texas,USA,29145505,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
UT,Utah,USA,3271616,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
VT,Vermont,USA,643077,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
VA,Virginie,USA,8631393,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
WA,Washington,USA,7705281,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
WV,Virginie-Occidentale,USA,1793716,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
WI,Wisconsin,USA,5893718,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
WY,Wyoming,USA,576851,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
