Code,Unite,TauxPar100k,GiEtoile,ClasseGi
WA,Washington,0.207649792395631,-0.028414223108963993,Non significatif
BC,Colombie-Britannique,8.458512993415757,3.0062916271861067,Chaud 99 %
ID,Idaho,0.10874848975534851,-1.2416286397856897,Non significatif
MT,Montana,0.09223177845926814,1.6180278016161627,Non significatif
AB,Alberta,15.694517592991192,3.7558546257073844,Chaud 99 %
SK,Saskatchewan,47.77020852005069,4.095407573553219,Chaud 99 %
ND,Dakota du Nord,2.6954385478517353,2.8155343625312232,Chaud 99 %
MB,Manitoba,30.771454521205854,4.75423486555602,Chaud 99 %
MN,Minnesota,5.5200268325875745,1.416322674817476,Non significatif
ON,Ontario,17.203388484008162,2.4573440146112686,Chaud 95 %
MI,Michigan,2.054115320812624,-0.1383692798983124,Non significatif
OH,Ohio,0.30509901819135943,-1.1173005571361379,Non significatif
PA,Pennsylvanie,0.3153191260276712,-1.182761336260216,Non significatif
NY,New York,0.7425283456483309,-0.7392770636164129,Non significatif
QC,Quebec,10.491855109362886,1.9696965653891025,Chaud 95 %
VT,Vermont,0.3110047474874704,0.5428880346479962,Non significatif
NH,New Hampshire,1.088906295257668,0.5428880346479962,Non significatif
ME,Maine,0.6606188236727617,1.29634342763416,Non significatif
NB,Nouveau-Brunswick,6.962261961552842,1.3731804192623283,Non significatif
AZ,Arizona,0.1258476890588858,-1.1499635281138099,Non significatif
CA,Californie,0.14163509574013988,-1.1541119839730276,Non significatif
NM,Nouveau-Mexique,0,-1.0490803827642308,Non significatif
TX,Texas,0.04803485134328604,-1.0830390214900067,Non significatif
AK,Alaska,2.0452937109945446,1.223755619948753,Non significatif
YT,Yukon,4.971167230065619,3.754382055243476,Chaud 99 %
LA,Louisiane,0.021469561421946226,-1.078065338974377,Non significatif
MS,Mississippi,0.03376919229832785,-1.1794346399635365,Non significatif
AL,Alabama,0.05971005989118041,-1.1774930404438375,Non significatif
FL,Floride,0.0975012427926269,-1.0766676666176676,Non significatif
GA,Georgie,0.028006215139263706,-1.1757039607366233,Non significatif
SC,Caroline du Sud,0.03907451999394345,-1.172776458224927,Non significatif
NC,Caroline du Nord,0.05747463357047367,-1.2528069455319948,Non significatif
VA,Virginie,0.0926849235111876,-1.239648278583692,Non significatif
DC,District de Columbia,0.2900463349020006,-1.2248468200483298,Non significatif
MD,Maryland,0.08094250750822699,-1.2248468200483298,Non significatif
DE,Delaware,0.10101540686985579,-1.028304966717333,Non significatif
NJ,New Jersey,0.34449370943721136,-0.9813907714025721,Non significatif
CT,Connecticut,0.9983516105630037,-0.7550184657490031,Non significatif
RI,Rhode Island,2.095903056282287,-0.665716769864382,Non significatif
MA,Massachusetts,3.20060677814546,-0.7393103170613258,Non significatif
OR,Oregon,0.1888014318700593,-0.8521453645718576,Non significatif
NU,Nunavut,0,5.126483257966228,Chaud 99 %
NL,Terre-Neuve-et-Labrador,6.267750465184605,1.8480355387108556,Chaud 90 %
NS,Nouvelle-Ecosse,8.87162246501125,1.1039183769725922,Non significatif
NT,Territoires du Nord-Ouest,12.174336498660823,3.3360424495027736,Chaud 99 %
HI,Hawai,0,-1.0564169195554962,Non significatif
PE,Ile-du-Prince-Edouard,22.0305706565758,1.3731804192623283,Non significatif
UT,Utah,0.1528296719419394,-1.2407750865702056,Non significatif
WY,Wyoming,0,-1.0962851815506587,Non significatif
NV,Nevada,0.032210123384098635,-1.1541119839730276,Non significatif
CO,Colorado,0.38103723184071814,-1.1459356238459053,Non significatif
SD,Dakota du Sud,0.3383457374640085,-0.7428677474722875,Non significatif
NE,Nebraska,0.2549064391405778,-0.8481433519669656,Non significatif
KS,Kansas,0,-1.123093683461651,Non significatif
OK,Oklahoma,0.12628325890619,-1.1598566490006799,Non significatif
IA,Iowa,0.12537734663294434,-0.9271766242595084,Non significatif
MO,Missouri,0.43867395038727597,-1.0239198372789704,Non significatif
WI,Wisconsin,0.6956559509633817,0.12075869764984909,Non significatif
IL,Illinois,0.6165849808640119,-1.077361139944213,Non significatif
KY,Kentucky,0,-1.0342233026570815,Non significatif
AR,Arkansas,0,-1.158178669397675,Non significatif
TN,Tennessee,0,-1.2684499979075772,Non significatif
WV,Virginie-Occidentale,0,-1.315769400513168,Non significatif
IN,Indiana,0.19158420685906832,-1.1038115279555225,Non significatif
