Decennie,NbJoueurs,latitude,longitude,DistanceType_km,PartEurope,PartCanada,Deplacement_km
1890,145,46.86123179744316,-79.74913523745774,1040.1623056983376,1.3793103448275863,95.17241379310344,NA
1900,260,48.338442875365395,-80.64032268031426,1583.418460633266,5,85.38461538461539,177.3265730199143
1910,321,48.69837915969097,-84.95556217680347,1498.6984069096575,3.4267912772585665,87.22741433021807,320.29750659608567
1920,335,49.52757202171496,-86.63435566265464,1502.4647922738118,3.582089552238806,93.43283582089552,153.0684121423045
1930,330,48.17345226037467,-85.51001200059075,1158.5999076661328,0.30303030303030304,96.96969696969697,171.57511141574759
1940,502,48.99029628184351,-83.40436867208541,1590.398079238158,3.5856573705179287,91.03585657370517,179.55041849952534
1950,964,51.007250666136414,-82.98926836492463,2226.728978414103,8.609958506224066,78.00829875518673,226.2284318482557
1960,1281,53.12591582811297,-81.90017169867114,2620.634444879836,12.412177985948478,70.64793130366901,247.06048764420274
1970,1286,60.629412676739605,-67.96371444499137,3459.194208457058,29.082426127527217,53.88802488335925,1184.2558064386596
1980,1341,58.59588047593198,-73.30912388626822,3341.911601935155,24.832214765100673,50.857568978374346,376.0160134198851
1990,1463,60.124523240366536,-67.84193180999382,3495.187124996259,31.78400546821599,40.66985645933015,353.2336482875305
2000,505,63.10415950517398,-59.48291663681512,3752.1349150142587,37.82178217821782,38.613861386138616,551.6041119990894
