Birthplace,Country,NbJoueurs,latitude,longitude
"North Battleford, SK, Canada",Canada,13,52.776186,-108.300476
"Plzen, Czech Republic",Czech Republic,13,49.7477415,13.3775249
"Sherwood Park, AB, Canada",Canada,13,53.5256963,-113.296631
"St. John's, NL, Canada",Canada,13,47.5646794,-52.7066964
"Swift Current, SK, Canada",Canada,13,50.2849138,-107.7984496
"Anchorage, AK, USA",USA,12,61.2163129,-149.894852
"Brno, Czech Republic",Czech Republic,12,49.1922443,16.6113382
"Brockville, ON, Canada",Canada,12,44.6039207,-75.7016829
"Chatham, ON, Canada",Canada,12,42.4057219,-82.1853837
"Collingwood, ON, Canada",Canada,12,44.5027226,-80.2172379
"Longueuil, QC, Canada",Canada,12,45.521906,-73.4644578
"Moncton, NB, Canada",Canada,12,46.0985679,-64.8004265
"Most, Czech Republic",Czech Republic,12,50.5032737,13.636112
"New York, NY, USA",USA,12,40.7127281,-74.0060152
"Prince George, BC, Canada",Canada,12,53.9128645,-122.7453699
"Shawinigan, QC, Canada",Canada,12,46.5396581,-72.7518637
"Sorel, QC, Canada",Canada,12,46.044404,-73.104744
"Yaroslavl, Russia",Russia,12,57.6263877,39.8933705
"Hibbing, MN, USA",USA,11,47.427155,-92.937689
"Kenora, ON, Canada",Canada,11,54.0245941,-89.1618188
"Kiev, Ukraine",Ukraine,11,50.4500336,30.5241361
"Lloydminster, SK, Canada",Canada,11,53.2816669,-109.986339
"Pardubice, Czech Republic",Czech Republic,11,50.0385812,15.7791356
"Pori, Finland",Finland,11,61.4866126,21.7972071
"Selkirk, MB, Canada",Canada,11,50.146986,-96.880188
"Summerside, PE, Canada",Canada,11,46.394259,-63.7892386
"Abbotsford, BC, Canada",Canada,10,49.0521162,-122.329479
"Bratislava, Slovakia",Slovakia,10,48.1516988,17.1093063
"Chicoutimi, QC, Canada",Canada,10,48.4286352,-71.0637121
"Falun, Sweden",Sweden,10,60.6070068,15.6323059
"Gatineau, QC, Canada",Canada,10,45.4277659,-75.710976
"Grand Rapids, MN, USA",USA,10,47.237166,-93.530214
"Hull, QC, Canada",Canada,10,45.4405842,-75.7326823
"Kosice, Slovakia",Slovakia,10,48.7172272,21.2496774
"Melville, SK, Canada",Canada,10,50.9307241,-102.807296
"Petrolia, ON, Canada",Canada,10,42.882002,-82.149582
"Syracuse, NY, USA",USA,10,43.0481221,-76.1474244
"Vasteras, Sweden",Sweden,10,59.6110992,16.5463679
"Voskresensk, Russia",Russia,10,55.322518,38.6816824
"Cambridge, ON, Canada",Canada,9,43.3600536,-80.3123023
"Ceske Budejovice, Czech Republic",Czech Republic,9,48.9747357,14.474285
"Cleveland, OH, USA",USA,9,41.4996574,-81.6936772
"Galt, ON, Canada",Canada,9,43.3589869,-80.3152471
"Jihlava, Czech Republic",Czech Republic,9,49.396064,15.5903065
"Kamloops, BC, Canada",Canada,9,50.6758269,-120.339415
"Kuopio, Finland",Finland,9,62.8924628,27.6783603
"Leksand, Sweden",Sweden,9,60.7329032,14.9968205
"Livonia, MI, USA",USA,9,42.36837,-83.3527097
"Markham, ON, Canada",Canada,9,43.8563707,-79.3376825
"Minsk, Belarus",Belarus,9,53.9024716,27.5618225
"North York, ON, Canada",Canada,9,43.7543217,-79.4491057
"Omsk, Russia",Russia,9,54.991375,73.371529
"Rochester, NY, USA",USA,9,43.157285,-77.615214
"Sydney, NS, Canada",Canada,9,46.1382112,-60.1941912
"Trencin, Slovakia",Slovakia,9,48.8922719,18.0387465
"Ust-Kamenogorsk, Kazakhstan",Kazakhstan,9,49.9484438,82.6274791
"Vernon, BC, Canada",Canada,9,50.2668671,-119.2718157
"Viking, AB, Canada",Canada,9,53.0972884,-111.7771466
"Weyburn, SK, Canada",Canada,9,49.6651238,-103.854034
"Whitby, ON, Canada",Canada,9,43.87982,-78.9421751
"Yorkton, SK, Canada",Canada,9,51.212045,-102.461243
"Ann Arbor, MI, USA",USA,8,42.2813722,-83.7484616
"Aurora, ON, Canada",Canada,8,43.99973,-79.467545
"Bloomington, MN, USA",USA,8,44.8322405,-93.3204872
"Burnsville, MN, USA",USA,8,44.7670567,-93.2773887
"Coquitlam, BC, Canada",Canada,8,49.2842958,-122.793281
"Dauphin, MB, Canada",Canada,8,51.1482866,-100.0509099
"Dearborn, MI, USA",USA,8,42.3222599,-83.1763145
"Eveleth, MN, USA",USA,8,47.462761,-92.538824
"Fort Frances, ON, Canada",Canada,8,48.6114425,-93.3967615
"Jyvaskyla, Finland",Finland,8,62.241672,25.7495806
"Kelowna, BC, Canada",Canada,8,49.8879177,-119.495902
"Lindsay, ON, Canada",Canada,8,44.3551266,-78.7369939
"Orebro, Sweden",Sweden,8,59.2747287,15.2151181
"Repentigny, QC, Canada",Canada,8,45.7326055,-73.4528307
"Richmond, BC, Canada",Canada,8,49.163168,-123.137414
"Rochester, MN, USA",USA,8,44.0234387,-92.4630182
"Roseau, MN, USA",USA,8,48.7710371,-95.7697882
"Saint-Hyacinthe, QC, Canada",Canada,8,45.627484,-72.940636
"South Porcupine, ON, Canada",Canada,8,48.4850936,-81.2087005
"St. Petersburg, Russia",Russia,8,59.9606739,30.1586551
"Ufa, Russia",Russia,8,54.7261409,55.947499
"Umea, Sweden",Sweden,8,63.8256568,20.2630745
"Victoriaville, QC, Canada",Canada,8,46.0554948,-71.9598586
"Zurich, Switzerland",Switzerland,8,47.3744489,8.5410422
"Ajax, ON, Canada",Canada,7,43.8505287,-79.0208814
"Cambridge, MA, USA",USA,7,42.3656347,-71.1040018
"Canmore, AB, Canada",Canada,7,51.0866897,-115.3481135
"Eden Prairie, MN, USA",USA,7,44.8546856,-93.470786
"Estevan, SK, Canada",Canada,7,49.1428076,-102.991075
