Birthplace,Country,NbJoueurs,latitude,longitude
"Alma, QC, Canada",Canada,3,48.548887,-71.651459
"Anaheim, CA, USA",USA,3,33.8347516,-117.911732
"Angarsk, Russia",Russia,3,52.5443167,103.8882138
"Anjou, QC, Canada",Canada,3,45.6048982,-73.5466723
"Arlington, TX, USA",USA,3,32.7355816,-97.1071186
"Arvida, QC, Canada",Canada,3,48.425897,-71.1821701
"Asbestos, QC, Canada",Canada,3,45.776623,-71.932297
"Assiniboia, SK, Canada",Canada,3,49.6311192,-105.9926494
"Banff, AB, Canada",Canada,3,51.175076,-115.5720773
"Bayfield, NB, Canada",Canada,3,46.1369363,-63.8175385
"Beauport, QC, Canada",Canada,3,46.8983492,-71.2062892
"Bedford, NS, Canada",Canada,3,44.7303901,-63.6582365
"Beeton, ON, Canada",Canada,3,44.0789618,-79.784557
"Belfast, Northern Ireland",Northern Ireland,3,54.596391,-5.9301829
"Belmont, MA, USA",USA,3,42.3959296,-71.1786655
"Bemidji, MN, USA",USA,3,47.4723148,-94.8832791
"Bentley, AB, Canada",Canada,3,52.4685411,-114.0432772
"Big River, SK, Canada",Canada,3,53.833333,-107.033333
"Billerica, MA, USA",USA,3,42.5584264,-71.268947
"Birtle, MB, Canada",Canada,3,50.4218411,-101.0462012
"Boden, Sweden",Sweden,3,65.8275004,21.6964105
"Bolton, ON, Canada",Canada,3,43.879548,-79.73826
"Borlange, Sweden",Sweden,3,60.4856426,15.4234561
"Boucherville, QC, Canada",Canada,3,45.6050197,-73.4526144
"Braintree, MA, USA",USA,3,42.2205956,-71.0041229
"Bramalea, ON, Canada",Canada,3,43.70139,-79.6919794
"Brockton, MA, USA",USA,3,42.0834335,-71.0183787
"Canora, SK, Canada",Canada,3,51.636411,-102.4313006
"Canton, NY, USA",USA,3,44.5956163,-75.1690942
"Capreol, ON, Canada",Canada,3,46.705969,-80.922546
"Carlyle, SK, Canada",Canada,3,49.6337518,-102.2669689
"Chapleau, ON, Canada",Canada,3,47.8416702,-83.4036099
"Charlestown, MA, USA",USA,3,42.3778749,-71.0619957
"Cloquet, MN, USA",USA,3,46.7217279,-92.4613669
"Cobalt, ON, Canada",Canada,3,47.3962288,-79.6856668
"Cobourg, ON, Canada",Canada,3,43.9595998,-78.1677784
"Colorado Springs, CO, USA",USA,3,38.8339578,-104.825348
"Comox, BC, Canada",Canada,3,49.6727575,-124.9276204
"Concord, NH, USA",USA,3,43.207178,-71.537476
"Coniston, ON, Canada",Canada,3,46.4867024,-80.8496581
"Craik, SK, Canada",Canada,3,51.0515057,-105.8159306
"Cudworth, SK, Canada",Canada,3,52.4895703,-105.7299987
"Darien, CT, USA",USA,3,41.0787079,-73.4692873
"Donnacona, QC, Canada",Canada,3,46.676532,-71.73008
"Drayton Valley, AB, Canada",Canada,3,53.2205548,-114.9832127
"Dryden, ON, Canada",Canada,3,49.785698,-92.835846
"Eganville, ON, Canada",Canada,3,45.5406943,-77.1004317
"Eksjo, Sweden",Sweden,3,57.6674439,14.9735595
"Elektrostal, Russia",Russia,3,55.7498843,38.4254338
"Elmira, NY, USA",USA,3,42.0897965,-76.8077338
"Elmira, ON, Canada",Canada,3,43.5893917,-80.5507359
"Everett, MA, USA",USA,3,42.4085897,-71.0542002
"Flint, MI, USA",USA,3,43.0161693,-83.6900211
"Foam Lake, SK, Canada",Canada,3,51.647238,-103.5315944
"Fort Wayne, IN, USA",USA,3,41.0799898,-85.1386015
"Fridley, MN, USA",USA,3,45.0838291,-93.2590388
"Gallivare, Sweden",Sweden,3,67.3,20.25
"Golden, BC, Canada",Canada,3,51.2992217,-116.9642955
"Goteborg, Sweden",Sweden,3,57.7072326,11.9670171
"Grand Falls, NL, Canada",Canada,3,48.929718,-55.655365
"Grand Rapids, MI, USA",USA,3,42.9632425,-85.6678639
"Grimsby, ON, Canada",Canada,3,43.1931661,-79.560677
"Haileybury, ON, Canada",Canada,3,47.4441901,-79.6360804
"Haliburton, ON, Canada",Canada,3,45.1525396,-78.5148132
"Hamiota, MB, Canada",Canada,3,50.183333,-100.6
"Hazelton, BC, Canada",Canada,3,55.2553671,-127.670882
"Helsingborg, Sweden",Sweden,3,56.0442098,12.703706
"Hingham, MA, USA",USA,3,42.2417669,-70.8897676
"Hudson Bay, SK, Canada",Canada,3,52.8565978,-102.3968073
"Huntington Beach, CA, USA",USA,3,33.6783336,-118.000016
"Indianapolis, IN, USA",USA,3,39.7683331,-86.1583502
"International Falls, MN, USA",USA,3,48.601033,-93.4105904
"Iroquois Falls, ON, Canada",Canada,3,48.7672213,-80.6770998
"Jasper, AB, Canada",Canada,3,52.8752336,-118.0824291
"Jindrichuv Hradec, Czech Republic",Czech Republic,3,49.1443265,15.003354
"Joensuu, Finland",Finland,3,62.6006375,29.7619759
"Kadan, Czech Republic",Czech Republic,3,50.3761991,13.2710364
"Kajaani, Finland",Finland,3,64.2246862,27.7339281
"Kalix, Sweden",Sweden,3,66,23
"Karlskrona, Sweden",Sweden,3,56.1621073,15.5866422
"Kelvington, SK, Canada",Canada,3,52.1643973,-103.5228082
"King City, ON, Canada",Canada,3,43.929489,-79.5252267
"Labrador City, NL, Canada",Canada,3,52.9422944,-66.9177291
"Lacombe, AB, Canada",Canada,3,52.4727515,-113.733215
"Lansing, MI, USA",USA,3,42.7338254,-84.5546295
"Leduc, AB, Canada",Canada,3,53.2607825,-113.5511681
"Leningrad, Russia",Russia,3,59.9606739,30.1586551
"Litomerice, Czech Republic",Czech Republic,3,50.5340795,14.1317985
"Lulea, Sweden",Sweden,3,65.5831187,22.1459535
"Manchester, NH, USA",USA,3,42.9956397,-71.4547891
"Mannville, AB, Canada",Canada,3,53.3373297,-111.1756071
"Maple Creek, SK, Canada",Canada,3,49.9056917,-109.4800219
"Maple Grove, MN, USA",USA,3,45.0984983,-93.4419222
"Matane, QC, Canada",Canada,3,48.8468883,-67.5295198
"Medford, MA, USA",USA,3,42.4184296,-71.1061639
"Melfort, SK, Canada",Canada,3,52.8613707,-104.6135544
"Merritt, BC, Canada",Canada,3,50.1124876,-120.7884149
"Milford, MI, USA",USA,3,42.5917805,-83.6000696
"Milwaukee, WI, USA",USA,3,43.0386475,-87.9090751
"Montmagny, QC, Canada",Canada,3,46.8529223,-70.3551125
"Moorhead, MN, USA",USA,3,46.8739081,-96.7538674
"Munkfors, Sweden",Sweden,3,59.816667,13.5
"Murrayville, BC, Canada",Canada,3,49.088493,-122.6133013
"Nokomis, SK, Canada",Canada,3,51.510452,-105.008698
"North Sydney, NS, Canada",Canada,3,46.2105845,-60.2470914
"Novopolotsk, Belarus",Belarus,3,55.5348855,28.64519
"Novy Jicin, Czech Republic",Czech Republic,3,49.594881,18.0102584
"Nynashamn, Sweden",Sweden,3,58.9056457,17.9470987
"Oak Park, IL, USA",USA,3,41.8878145,-87.7887615
"Oklahoma City, OK, USA",USA,3,35.4729886,-97.5170536
"Olomouc, Czech Republic",Czech Republic,3,49.5940567,17.251143
"Opava, Czech Republic",Czech Republic,3,49.9389004,17.9024174
"Orland Park, IL, USA",USA,3,41.630663,-87.8536288
"Orlando, FL, USA",USA,3,28.5421218,-81.379045
"Orleans, ON, Canada",Canada,3,45.4653654,-75.5035343
"Oskarshamn, Sweden",Sweden,3,57.2632811,16.4443478
"Ostervala, Sweden",Sweden,3,60.1809325,17.1780842
"Oxbow, SK, Canada",Canada,3,49.2298181,-102.173666
"Parma, OH, USA",USA,3,41.3822398,-81.7355692
"Petawawa, ON, Canada",Canada,3,45.8984286,-77.2826645
"Pierrefonds, QC, Canada",Canada,3,45.4955083,-73.8471749
"Plano, TX, USA",USA,3,33.0136764,-96.6925096
"Pointe-aux-Trembles, QC, Canada",Canada,3,45.6747302,-73.5062328
"Port Huron, MI, USA",USA,3,42.9760854,-82.4333742
"Port McNeill, BC, Canada",Canada,3,50.5893452,-127.0839027
"Portland, OR, USA",USA,3,45.5202471,-122.674194
"Prescott, ON, Canada",Canada,3,44.7184132,-75.5191675
"Preston, ON, Canada",Canada,3,43.3940076,-80.3555103
"Provost, AB, Canada",Canada,3,52.4137383,-110.639576
"Quill Lake, SK, Canada",Canada,3,52.0725531,-104.253704
"Raahe, Finland",Finland,3,64.6845313,24.4816349
"Rochester, MI, USA",USA,3,42.680588,-83.1338214
"Saint Paul, MN, USA",USA,3,44.9497487,-93.0931028
"Salem, MA, USA",USA,3,42.5195292,-70.8967226
"Salmon Arm, BC, Canada",Canada,3,50.7005059,-119.2790529
"San Diego, CA, USA",USA,3,32.7174202,-117.162772
"Seattle, WA, USA",USA,3,47.6038321,-122.330062
"Shaunavon, SK, Canada",Canada,3,49.6507703,-108.410021
"Smooth Rock Falls, ON, Canada",Canada,3,49.2768,-81.6311885
"Solleftea, Sweden",Sweden,3,63.383333,16.916667
"South St. Paul, MN, USA",USA,3,44.8906694,-93.0372808
"Southborough, MA, USA",USA,3,42.3056501,-71.5245087
"Staten Island, NY, USA",USA,3,40.5834557,-74.1496048
"Sternberk, Czech Republic",Czech Republic,3,49.730712,17.2988474
"Stony Mountain, MB, Canada",Canada,3,50.0877777,-97.2192172
"Stouffville, ON, Canada",Canada,3,43.9717581,-79.2454446
"Strasbourg, SK, Canada",Canada,3,51.0704195,-104.9568557
"Sundbyberg, Sweden",Sweden,3,59.3628802,17.9681359
"Sundridge, ON, Canada",Canada,3,45.7710789,-79.3957685
"Swan River, MB, Canada",Canada,3,52.1076932,-101.2546797
"Terrace Bay, ON, Canada",Canada,3,48.782437,-87.102356
"The Pas, MB, Canada",Canada,3,53.8224172,-101.2405153
"Thompson, MB, Canada",Canada,3,55.743347,-97.863464
"Thornhill, ON, Canada",Canada,3,43.8161477,-79.4245925
"Tillsonburg, ON, Canada",Canada,3,42.859494,-80.7265015
"Timra, Sweden",Sweden,3,62.4922058,17.2995411
"Tingsryd, Sweden",Sweden,3,56.533333,14.966667
"Topolcany, Slovakia",Slovakia,3,48.5594345,18.1754394
"Troy, NY, USA",USA,3,42.7284117,-73.6917878
"Two Harbors, MN, USA",USA,3,47.0257139,-91.6730523
"Unity, SK, Canada",Canada,3,52.4428508,-109.1548985
"Usti nad Labem, Czech Republic",Czech Republic,3,50.6603327,14.0381357
"Utica, NY, USA",USA,3,43.1009031,-75.2326641
"Vienna, Austria",Austria,3,48.2083537,16.3725042
"Vyskov, Czech Republic",Czech Republic,3,49.2778194,16.9994446
"Wakefield, MA, USA",USA,3,42.506484,-71.0728306
"Wallaceburg, ON, Canada",Canada,3,42.5928652,-82.3873866
"Warren, MI, USA",USA,3,42.4932575,-83.0062746
"Warwick, RI, USA",USA,3,41.6992717,-71.4586114
"Watson, SK, Canada",Canada,3,52.1293715,-104.5236191
"Waubaushene, ON, Canada",Canada,3,44.754404,-79.710969
"West Vancouver, BC, Canada",Canada,3,49.3311208,-123.159479
"Wilcox, SK, Canada",Canada,3,50.097679,-104.7258
"Williamsville, NY, USA",USA,3,42.9637836,-78.7377258
"Willowdale, ON, Canada",Canada,3,43.77887,-79.4175363
"Worcester, MA, USA",USA,3,42.2625621,-71.8018877
"Yellowknife, NT, Canada",Canada,3,62.4540807,-114.377385
"Ylojarvi, Finland",Finland,3,61.5488965,23.5951425
"100 Mile House, BC, Canada",Canada,2,51.6427866,-121.2956943
"Aalborg, Denmark",Denmark,2,57.0462626,9.9215263
"Acton, MA, USA",USA,2,42.4850931,-71.43284
"Agincourt, ON, Canada",Canada,2,43.7853531,-79.2785494
"Albany, NY, USA",USA,2,42.6511674,-73.754968
"Aldergrove, BC, Canada",Canada,2,49.0596635,-122.4922381
"Allan, SK, Canada",Canada,2,51.8960544,-106.0554168
"Amherst, NS, Canada",Canada,2,45.8192941,-64.2333504
"Amos, QC, Canada",Canada,2,48.5718519,-78.1160856
"Angelholm, Sweden",Sweden,2,56.2429224,12.8619375
"Apple Valley, MN, USA",USA,2,44.7319094,-93.21772
"Are, Sweden",Sweden,2,63.4010888,13.0822241
"Arkhangelsk, Russia",Russia,2,64.5410251,40.5286774
"Arlington Heights, IL, USA",USA,2,42.0811563,-87.9802164
"Arlington, MA, USA",USA,2,42.4153739,-71.1564428
"Arnprior, ON, Canada",Canada,2,45.433515,-76.3543692
"Atlanta, GA, USA",USA,2,33.7544657,-84.3898151
"Bancroft, ON, Canada",Canada,2,45.0570769,-77.8537127
"Bashaw, AB, Canada",Canada,2,52.583333,-112.966667
"Baudette, MN, USA",USA,2,48.7124408,-94.600171
"Beaconsfield, QC, Canada",Canada,2,45.4289766,-73.8654387
"Beamsville, ON, Canada",Canada,2,43.1654577,-79.4751839
"Beaverlodge, AB, Canada",Canada,2,55.2106188,-119.4286716
"Beaverton, ON, Canada",Canada,2,44.4296227,-79.1550193
"Belle River, ON, Canada",Canada,2,42.2928986,-82.7113352
"Bellevue, QC, Canada",Canada,2,48.6621831,-72.4402626
"Bellmawr, NJ, USA",USA,2,39.8676134,-75.0946183
"Berlin, Germany",Germany,2,52.5173885,13.3951309
"Beverly, MA, USA",USA,2,42.5489744,-70.8781883
"Biddeford, ME, USA",USA,2,43.4925843,-70.4533844
"Biel, Switzerland",Switzerland,2,47.1402077,7.2439029
"Bilovec, Czech Republic",Czech Republic,2,49.7567664,18.01623
"Birmingham, England",England,2,52.4948994,-1.8518439
"Bismarck, ND, USA",USA,2,46.808327,-100.783739
"Blackie, AB, Canada",Canada,2,50.6030153,-113.6177721
"Blaine, MN, USA",USA,2,45.1607987,-93.2349489
"Blind River, ON, Canada",Canada,2,46.188388,-82.95639
"Bonavista, NL, Canada",Canada,2,48.6541763,-53.110338
"Bourget, ON, Canada",Canada,2,45.4348751,-75.1578861
"Boxboro, MA, USA",USA,2,42.4827512,-71.5142726
"Boxford, MA, USA",USA,2,42.6605844,-70.9971204
"Brighton, MA, USA",USA,2,42.3491615,-71.1533859
"Brighton, MI, USA",USA,2,42.5316918,-83.7846458
"Bromma, Sweden",Sweden,2,59.339769,17.9395411
"Brookfield, WI, USA",USA,2,43.0615578,-88.1260678
"Brooklyn, NY, USA",USA,2,40.6526006,-73.9497211
"Brownsburg, QC, Canada",Canada,2,45.676516,-74.4046061
"Buffalo Grove, IL, USA",USA,2,42.1544205,-87.9589621
"Bulach, Switzerland",Switzerland,2,47.5172321,8.5407118
"Burlington, MA, USA",USA,2,42.5048167,-71.1956111
"Cache Bay, ON, Canada",Canada,2,46.3737816,-79.9885393
"Calahoo, AB, Canada",Canada,2,53.7084868,-113.9589008
"Caledon, ON, Canada",Canada,2,43.8320698,-79.9066871
"Caledonia, ON, Canada",Canada,2,43.6923229,-79.4653403
"Calumet, MI, USA",USA,2,47.246592,-88.454006
"Calw, Germany",Germany,2,48.7142691,8.7397624
"Campbellford, ON, Canada",Canada,2,44.3085912,-77.798084
"Canton, MA, USA",USA,2,42.1584324,-71.1447732
"Cap-de-la-Madeleine, QC, Canada",Canada,2,46.368253,-72.509079
"Carbonear, NL, Canada",Canada,2,47.733123,-53.2366225
"Cardston, AB, Canada",Canada,2,49.2001157,-113.3165704
"Carleton Place, ON, Canada",Canada,2,45.1403366,-76.1465672
"Carman, MB, Canada",Canada,2,49.5082995,-98.0016853
"Caroline, AB, Canada",Canada,2,52.0943034,-114.7391684
"Carp, ON, Canada",Canada,2,45.345148,-76.03672
"Carroll, MB, Canada",Canada,2,49.6081848,-100.0315519
"Centerville, SD, USA",USA,2,43.1169692,-96.9610032
"Central Butte, SK, Canada",Canada,2,50.7938303,-106.5078309
"Chanhassen, MN, USA",USA,2,44.8618403,-93.5307207
"Charlesbourg, QC, Canada",Canada,2,46.8956499,-71.2908286
"Chateauguay, QC, Canada",Canada,2,45.3602416,-73.749364
"Chatham, NJ, USA",USA,2,40.7409242,-74.3836711
"Chemainus, BC, Canada",Canada,2,48.922499,-123.718414
"Chesterfield, MO, USA",USA,2,38.6581764,-90.5680617
"Chilliwack, BC, Canada",Canada,2,49.1709788,-121.95255
"Chomutov, Czech Republic",Czech Republic,2,50.4606456,13.4178324
"Churchbridge, SK, Canada",Canada,2,50.9000886,-101.8933019
"Clinton, ON, Canada",Canada,2,43.6171831,-81.5397155
"Cologne, Germany",Germany,2,50.938361,6.959974
"Concord, MA, USA",USA,2,42.4605189,-71.3488963
"Coronation, AB, Canada",Canada,2,52.0929552,-111.4490001
"Courtice, ON, Canada",Canada,2,43.9117719,-78.7780464
"Cowansville, QC, Canada",Canada,2,45.2076125,-72.7479195
"Creighton Mine, ON, Canada",Canada,2,46.4725204,-81.1860383
"Crystal, MN, USA",USA,2,45.031823,-93.3606072
"Dartmouth, NS, Canada",Canada,2,44.6799707,-63.5720232
"Daysland, AB, Canada",Canada,2,52.8680426,-112.2656813
"Dearborn Heights, MI, USA",USA,2,42.3369816,-83.2732627
"Delano, MN, USA",USA,2,45.0419073,-93.7891331
"Des Moines, IA, USA",USA,2,41.5868654,-93.6249494
"Dingolfing, Germany",Germany,2,48.6300801,12.4977434
"Dodsland, SK, Canada",Canada,2,51.8,-108.833333
"Dollard-des-Ormeaux, QC, Canada",Canada,2,45.48423,-73.8064547
"Downers Grove, IL, USA",USA,2,41.7936822,-88.0102281
"Drumheller, AB, Canada",Canada,2,51.401597,-112.6185167
"Dunnville, ON, Canada",Canada,2,42.9059168,-79.6188457
"Durham, ON, Canada",Canada,2,44.0310471,-78.949678
"Dysart, SK, Canada",Canada,2,50.9430848,-104.0374989
"Eagle River, AK, USA",USA,2,61.2700284,-149.3863924
"Earlton, ON, Canada",Canada,2,47.7110111,-79.8244011
"East Amherst, NY, USA",USA,2,43.0183913,-78.696697
"Edmundston, NB, Canada",Canada,2,47.3637203,-68.3288825
"Elburn, IL, USA",USA,2,41.8922499,-88.4723014
"Elektrenai, Lithuania",Lithuania,2,54.786657,24.6708398
"Elk Point, AB, Canada",Canada,2,53.8999368,-110.8999785
"Elliot Lake, ON, Canada",Canada,2,46.373464,-82.652893
"Esterhazy, SK, Canada",Canada,2,50.6536237,-102.0763357
"Fairport, NY, USA",USA,2,43.0993,-77.443014
"Farmington, MN, USA",USA,2,44.6402434,-93.1435497
"Ferme-Neuve, QC, Canada",Canada,2,46.7010748,-75.4497514
"Fort Qu'Appelle, SK, Canada",Canada,2,50.7719106,-103.7958877
"Fort Saint John, BC, Canada",Canada,2,56.2309014,-120.8326004
"Fort St. John, BC, Canada",Canada,2,56.2527571,-120.8472064
"Foxwarren, MB, Canada",Canada,2,50.518435,-101.1519893
"Franklin, MA, USA",USA,2,42.5896205,-72.6110645
"Fribourg, Switzerland",Switzerland,2,46.6789116,7.1027113
"Frydek-Mistek, Czech Republic",Czech Republic,2,49.685635,18.3483416
"Frydlant, Czech Republic",Czech Republic,2,50.9216775,15.0794594
"Fuessen, Germany",Germany,2,47.567599800000004,10.6993217
"Gaspe, QC, Canada",Canada,2,48.6146774,-66.0665726
"Geraldton, ON, Canada",Canada,2,49.7188752,-86.9493168
"Gilbert Plains, MB, Canada",Canada,2,51.1439239,-100.4847581
"Glendon, AB, Canada",Canada,2,54.251111,-111.151389
"Glenview, IL, USA",USA,2,42.0700662,-87.8114044
"Gloucester, ON, Canada",Canada,2,45.3583853,-75.5707311
"Gorky, Russia",Russia,2,56.3264816,44.0051395
"Gottwaldov, Czech Republic",Czech Republic,2,49.226766,17.6667415
"Grand Ledge, MI, USA",USA,2,42.7524401,-84.7463572
"Grande Cache, AB, Canada",Canada,2,53.8888135,-119.1185658
"Grenfell, SK, Canada",Canada,2,50.411344,-102.9300253
"Gresham, OR, USA",USA,2,45.4978623,-122.4329883
"Grums, Sweden",Sweden,2,59.45,13.083333
"Ham Lake, MN, USA",USA,2,45.2502429,-93.2499508
"Hanna, AB, Canada",Canada,2,51.6445566,-111.927479
"Harnosand, Sweden",Sweden,2,62.6323084,17.9379914
"Hartney, MB, Canada",Canada,2,49.4815988,-100.5231198
"Hastings, MN, USA",USA,2,44.7426933,-92.8518697
"Hearst, ON, Canada",Canada,2,49.690732,-83.666382
"Hermantown, MN, USA",USA,2,46.8068852,-92.2382464
"High Prairie, AB, Canada",Canada,2,55.4325044,-116.4836198
"Hodonin, Czech Republic",Czech Republic,2,48.8563914,17.1234655
"Holland Landing, ON, Canada",Canada,2,44.1015097,-79.4914772
"Holland, MI, USA",USA,2,42.7876022,-86.1090828
"Holliston, MA, USA",USA,2,42.2000966,-71.4245049
"Holyoke, MA, USA",USA,2,42.2071184,-72.6075851
"Hopkins, MN, USA",USA,2,44.9243986,-93.4114487
"Houghton, MI, USA",USA,2,46.8591287,-88.7774734
"Houston, TX, USA",USA,2,29.7589382,-95.3676974
"Howell, MI, USA",USA,2,42.6072552,-83.9293952
"Hudson, WI, USA",USA,2,44.9750953,-92.7554671
"Hull, MA, USA",USA,2,42.3020436,-70.9078243
"Huntsville, AL, USA",USA,2,34.729847,-86.5859011
"Hyannis, MA, USA",USA,2,41.6535345,-70.2823287
"Hyvinkaa, Finland",Finland,2,60.6311481,24.8603615
"Ile-Bizard, QC, Canada",Canada,2,45.4944158,-73.8948882
"Imatra, Finland",Finland,2,61.1959258,28.7766593
"Innisfail, AB, Canada",Canada,2,52.0274651,-113.9502354
"Izhevsk, Russia",Russia,2,56.8529729,53.2103071
"Jarfalla, Sweden",Sweden,2,59.4204736,17.8285472
"Johannesburg, South Africa",South Africa,2,-26.205,28.049722
"Kalamazoo, MI, USA",USA,2,42.291707,-85.5872286
"Karlovy Vary, Czech Republic",Czech Republic,2,50.2306216,12.8701437
"Karlskoga, Sweden",Sweden,2,59.3291667,14.5176911
"Kaufbeuren, Germany",Germany,2,47.8803788,10.622246
"Kempele, Finland",Finland,2,64.91245,25.5108223
"Kenogami, QC, Canada",Canada,2,48.4257336,-71.2390958
"Kerrobert, SK, Canada",Canada,2,51.9158875,-109.1365445
"Kezmarok, Slovakia",Slovakia,2,49.1362088,20.4308701
"Kharkov, Ukraine",Ukraine,2,49.9923181,36.2310146
"Kiiminki, Finland",Finland,2,65.1299324,25.7773028
"Kiruna, Sweden",Sweden,2,67.8496111,20.30625
"Kitimat, BC, Canada",Canada,2,54.0535577,-128.6540519
"Klagenfurt, Austria",Austria,2,46.623943,14.3075976
"Krasnoyarsk, Russia",Russia,2,56.0091173,92.872586
"Kristianstad, Sweden",Sweden,2,56.0293778,14.1566859
"Kungalv, Sweden",Sweden,2,57.8707951,11.9799616
"Lac La Biche, AB, Canada",Canada,2,55.2467859,-111.8354916
"Lac-Saint-Charles, QC, Canada",Canada,2,46.908295,-71.376457
"Landis, SK, Canada",Canada,2,52.2,-108.45
"Landshut, Germany",Germany,2,48.536217,12.1516551
"Lang, SK, Canada",Canada,2,49.9189149,-104.3715121
"Levack, ON, Canada",Canada,2,46.6394749,-81.3902774
"Levis, QC, Canada",Canada,2,46.8033114,-71.1778792
"Lidkoping, Sweden",Sweden,2,58.5037196,13.1576427
"Lipetsk, Russia",Russia,2,52.6935178,39.1122664
"Lucky Lake, SK, Canada",Canada,2,50.9850216,-107.1373209
"Ludvika, Sweden",Sweden,2,60.2,14.833333
"Lycksele, Sweden",Sweden,2,64.6,18.166667
"Lynden, ON, Canada",Canada,2,43.2364003,-80.1468329
"Maniwaki, QC, Canada",Canada,2,46.3778839,-75.9807967
"Mannheim, Germany",Germany,2,49.4892913,8.4673098
"Maple Ridge, BC, Canada",Canada,2,49.2197345,-122.599707
"Maple, ON, Canada",Canada,2,43.8594952,-79.5068973
"Marshfield, MA, USA",USA,2,42.091769,-70.7055941
"Massapequa, NY, USA",USA,2,40.669501,-73.4698253
"Massena, NY, USA",USA,2,44.9300823,-74.8922422
"Michalovce, Slovakia",Slovakia,2,48.7514383,21.9211949
"Middletown, NJ, USA",USA,2,40.3898188,-74.1162152
"Milford, CT, USA",USA,2,41.2222218,-73.0570603
"Milton, MA, USA",USA,2,42.2501425,-71.065573
"Minnedosa, MB, Canada",Canada,2,50.249865,-99.8385233
"Minot, ND, USA",USA,2,48.23251,-101.296273
"Mission, BC, Canada",Canada,2,49.1589351,-122.283583
"Mitchell, ON, Canada",Canada,2,43.467942,-81.197899
"Mogilev, Belarus",Belarus,2,53.9090245,30.3429838
"Morinville, AB, Canada",Canada,2,53.8009283,-113.6506625
"Morrisburg, ON, Canada",Canada,2,44.8977043,-75.1829545
"Motherwell, Scotland",Scotland,2,55.7893512,-3.9904173
"Nanton, AB, Canada",Canada,2,50.3481989,-113.770256
"Nashua, NH, USA",USA,2,42.7656251,-71.4677032
"Needham, MA, USA",USA,2,42.2802645,-71.2360624
"Neudorf, SK, Canada",Canada,2,50.7136022,-103.0120907
"New Bedford, MA, USA",USA,2,41.6362152,-70.934205
"New Hamburg, ON, Canada",Canada,2,43.3784216,-80.7097716
"New Waterford, NS, Canada",Canada,2,46.2483846,-60.0873491
"Newcastle, NB, Canada",Canada,2,47.0007875,-65.5741695
"Newport Beach, CA, USA",USA,2,33.6170092,-117.9294401
"Niagara Falls, NY, USA",USA,2,43.084841,-79.0701786
"Nipawin, SK, Canada",Canada,2,53.3627879,-104.017425
"Nobleton, ON, Canada",Canada,2,43.9022127,-79.652722
"Norquay, SK, Canada",Canada,2,51.8842262,-102.0907464
"North Andover, MA, USA",USA,2,42.7029687,-71.1309117
"North Easton, MA, USA",USA,2,42.0667665,-71.1036592
"Norwood, MA, USA",USA,2,42.194543,-71.1994976
"Nykoping, Sweden",Sweden,2,58.7545409,17.0120656
"Oakbank, MB, Canada",Canada,2,49.9373014,-96.8416613
"Olten, Switzerland",Switzerland,2,47.3496571,7.903787
"Osoyoos, BC, Canada",Canada,2,49.033333,-119.466667
"Overtornea, Sweden",Sweden,2,66.666667,23.5
"Oxford, MI, USA",USA,2,42.8247524,-83.2646624
"Palmerston, ON, Canada",Canada,2,43.8341108,-80.8495763
"Pembroke Pines, FL, USA",USA,2,26.0061943,-80.2872086
"Piestany, Slovakia",Slovakia,2,48.5895247,17.8213848
"Pilot Mound, MB, Canada",Canada,2,49.2,-98.9
"Plantation, FL, USA",USA,2,26.1275862,-80.2331036
"Plymouth, MN, USA",USA,2,45.0065149,-93.46651
"Point Anne, ON, Canada",Canada,2,44.1595103,-77.2949269
"Pontiac, MI, USA",USA,2,42.6389216,-83.2910468
"Port Chester, NY, USA",USA,2,41.0017643,-73.6656834
"Port Credit, ON, Canada",Canada,2,43.5560546,-79.5870828
"Port Jefferson, NY, USA",USA,2,40.9465118,-73.0691257
"Port Perry, ON, Canada",Canada,2,44.1054151,-78.9425076
"Potlatch, ID, USA",USA,2,46.9214798,-116.896971
"Pribram, Czech Republic",Czech Republic,2,49.6901444,14.0103663
"Prior Lake, MN, USA",USA,2,44.7133271,-93.4226873
"Quincy, MA, USA",USA,2,42.2509914,-71.0037374
"Rakovnik, Czech Republic",Czech Republic,2,50.1041136,13.7310462
"Red Lake, ON, Canada",Canada,2,51.018938,-93.827362
"Revelstoke, BC, Canada",Canada,2,50.998045,-118.1956709
"Rhinelander, WI, USA",USA,2,45.636623,-89.412075
"Richfield, MN, USA",USA,2,44.8766431,-93.2877877
"Richmond, VA, USA",USA,2,37.5385087,-77.43428
"Rochester Hills, MI, USA",USA,2,42.6583661,-83.1499322
"Rodovre, Denmark",Denmark,2,55.6812495,12.4547294
"Rome, NY, USA",USA,2,43.2102196,-75.4583956
"Russell, MB, Canada",Canada,2,50.7804542,-101.2878789
"Ryazan, Russia",Russia,2,54.6702523,39.6884462
"Saint-Charles, QC, Canada",Canada,2,46.34614,-72.538355
"Saint-Jean, QC, Canada",Canada,2,45.2129063,-73.2194252
"Saint-Lambert, QC, Canada",Canada,2,45.5016203,-73.5102981
"Sainte-Adele, QC, Canada",Canada,2,45.951895,-74.1359579
"Sainte-Agathe, QC, Canada",Canada,2,46.383068,-71.4095133
"Sainte-Anne-de-Bellevue, QC, Canada",Canada,2,45.4038563,-73.9523976
