Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Port Arthur, ON, Canada","Port Arthur, ON, Canada",Canada,18,48.4348261,-89.2194423
"Verdun, QC, Canada","Verdun, QC, Canada",Canada,18,45.459099,-73.5731712
"Gavle, Sweden","Gavle, Sweden",Sweden,17,60.6750132,17.1467019
"North Vancouver, BC, Canada","North Vancouver, BC, Canada",Canada,17,49.3206294,-123.0737925
"Prince Albert, SK, Canada","Prince Albert, SK, Canada",Canada,17,53.2020289,-105.7558962
"Skelleftea, Sweden","Skelleftea, Sweden",Sweden,17,64.7520185,20.959339
"Stratford, ON, Canada","Stratford, ON, Canada",Canada,17,43.3700899,-80.9818016
"Burlington, ON, Canada","Burlington, ON, Canada",Canada,16,43.3248924,-79.7966835
"Espoo, Finland","Espoo, Finland",Finland,16,60.2049651,24.6559808
"Karlstad, Sweden","Karlstad, Sweden",Sweden,16,59.3809146,13.5027631
"Kladno, Czech Republic","Kladno, Czech Republic",Czech Republic,16,49.7673576,15.9729537
"New Westminster, BC, Canada","New Westminster, BC, Canada",Canada,16,49.2067726,-122.9108818
"Pittsburgh, PA, USA","Pittsburgh, PA, USA",USA,16,40.4406968,-80.0025666
"Welland, ON, Canada","Welland, ON, Canada",Canada,16,42.9922181,-79.2484192
"Drummondville, QC, Canada","Drummondville, QC, Canada",Canada,15,45.8864303,-72.5018764
"Newmarket, ON, Canada","Newmarket, ON, Canada",Canada,15,44.056258,-79.461708
"Richmond Hill, ON, Canada","Richmond Hill, ON, Canada",Canada,15,43.8801166,-79.4392925
"Cranbrook, BC, Canada","Cranbrook, BC, Canada",Canada,14,49.5107477,-115.7672772
"Duluth, MN, USA","Duluth, MN, USA",USA,14,46.7838287,-92.1052679
"Lachine, QC, Canada","Lachine, QC, Canada",Canada,14,45.435114,-73.6837987
"Madison, WI, USA","Madison, WI, USA",USA,14,43.07469,-89.3841663
"Ornskoldsvik, Sweden","Ornskoldsvik, Sweden",Sweden,14,63.2888613,18.7160209
"Ostrava, Czech Republic","Ostrava, Czech Republic",Czech Republic,14,49.8349139,18.2820084
"Pembroke, ON, Canada","Pembroke, ON, Canada",Canada,14,45.8209741,-77.1115433
"St. Boniface, MB, Canada","St. Boniface, MB, Canada",Canada,14,49.8854516,-97.1161877
"Surrey, BC, Canada","Surrey, BC, Canada",Canada,14,49.1913033,-122.849143
"Vantaa, Finland","Vantaa, Finland",Finland,14,60.2929883,25.0436744
"Denver, CO, USA","Denver, CO, USA",USA,13,39.7392364,-104.984862
"North Battleford, SK, Canada","North Battleford, SK, Canada",Canada,13,52.776186,-108.300476
"Plzen, Czech Republic","Plzen, Czech Republic",Czech Republic,13,49.7477415,13.3775249
"Sherwood Park, AB, Canada","Sherwood Park, AB, Canada",Canada,13,53.5256963,-113.296631
"St. John's, NL, Canada","St. John's, NL, Canada",Canada,13,47.5646794,-52.7066964
"Swift Current, SK, Canada","Swift Current, SK, Canada",Canada,13,50.2849138,-107.7984496
"Anchorage, AK, USA","Anchorage, AK, USA",USA,12,61.2163129,-149.894852
"Brno, Czech Republic","Brno, Czech Republic",Czech Republic,12,49.1922443,16.6113382
"Brockville, ON, Canada","Brockville, ON, Canada",Canada,12,44.6039207,-75.7016829
"Chatham, ON, Canada","Chatham, ON, Canada",Canada,12,42.4057219,-82.1853837
"Collingwood, ON, Canada","Collingwood, ON, Canada",Canada,12,44.5027226,-80.2172379
"Longueuil, QC, Canada","Longueuil, QC, Canada",Canada,12,45.521906,-73.4644578
"Moncton, NB, Canada","Moncton, NB, Canada",Canada,12,46.0985679,-64.8004265
"Most, Czech Republic","Most, Czech Republic",Czech Republic,12,50.5032737,13.636112
