Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Saint John, NB, Canada","Saint John, NB, Canada",Canada,5,45.2787992,-66.0585188
"Shawville, QC, Canada","Shawville, QC, Canada",Canada,5,45.6035643,-76.491467599999993
"Skalica, Slovakia","Skalica, Slovakia",Slovakia,5,48.8461007,17.2287837
"Souris, MB, Canada","Souris, MB, Canada",Canada,5,49.6210094,-100.2582479
"Springfield, MA, USA","Springfield, MA, USA",USA,5,42.1018764,-72.5886727
"St. Cloud, MN, USA","St. Cloud, MN, USA",USA,5,45.5616075,-94.1642004
"St. Thomas, ON, Canada","St. Thomas, ON, Canada",Canada,5,42.779022,-81.1929882
"Sterling Heights, MI, USA","Sterling Heights, MI, USA",USA,5,42.5803122,-83.0302033
"Temiscaming, QC, Canada","Temiscaming, QC, Canada",Canada,5,46.7219118,-79.0954543
"Terrace, BC, Canada","Terrace, BC, Canada",Canada,5,54.5172715,-128.599548
"Thetford Mines, QC, Canada","Thetford Mines, QC, Canada",Canada,5,46.091329,-71.30127
"Tolyatti, Russia","Tolyatti, Russia",Russia,5,53.5098845,49.4189187
"Val-d'Or, QC, Canada","Val-d'Or, QC, Canada",Canada,5,48.1023356,-77.7875715
"Vermilion, AB, Canada","Vermilion, AB, Canada",Canada,5,53.3527093,-110.8542072
"Waltham, MA, USA","Waltham, MA, USA",USA,5,42.3762385,-71.2355644
"Wetaskiwin, AB, Canada","Wetaskiwin, AB, Canada",Canada,5,52.968492,-113.36792
"Winchester, ON, Canada","Winchester, ON, Canada",Canada,5,45.0928774,-75.35299
"Yekaterinburg, Russia","Yekaterinburg, Russia",Russia,5,56.8382071,60.6007886
"Airdrie, AB, Canada","Airdrie, AB, Canada",Canada,4,51.28597,-114.01062
"Baie-Comeau, QC, Canada","Baie-Comeau, QC, Canada",Canada,4,49.2118373,-68.1801406
"Barnaul, Russia","Barnaul, Russia",Russia,4,53.3475493,83.7788448
"Blainville, QC, Canada","Blainville, QC, Canada",Canada,4,45.67932,-73.87619
"Bloomfield Hills, MI, USA","Bloomfield Hills, MI, USA",USA,4,42.583645,-83.2454883
"Bonnyville, AB, Canada","Bonnyville, AB, Canada",Canada,4,54.267925,-110.741515
"Canton, MI, USA","Canton, MI, USA",USA,4,32.612602,-90.0367512
"Carmel, IN, USA","Carmel, IN, USA",USA,4,39.9784186,-86.1283681
"Chesley, ON, Canada","Chesley, ON, Canada",Canada,4,44.29874,-81.0952892
"Cold Lake, AB, Canada","Cold Lake, AB, Canada",Canada,4,54.46046,-110.192871
"Corner Brook, NL, Canada","Corner Brook, NL, Canada",Canada,4,48.95317,-57.947388
"Creston, BC, Canada","Creston, BC, Canada",Canada,4,49.0974046,-116.5130934
"Danderyd, Sweden","Danderyd, Sweden",Sweden,4,59.4043647,18.0358505
"Dawson Creek, BC, Canada","Dawson Creek, BC, Canada",Canada,4,55.7605306,-120.2364453
"Delta, BC, Canada","Delta, BC, Canada",Canada,4,49.0846258,-123.057938
"Dorchester, MA, USA","Dorchester, MA, USA",USA,4,42.2973205,-71.0744952
"Eau Claire, WI, USA","Eau Claire, WI, USA",USA,4,44.811349,-91.4984941
"Elk River, MN, USA","Elk River, MN, USA",USA,4,45.3038538,-93.5671825
"Espanola, ON, Canada","Espanola, ON, Canada",Canada,4,46.265341,-81.769867
"Essex, ON, Canada","Essex, ON, Canada",Canada,4,42.2354142,-82.7120106
"Evanston, IL, USA","Evanston, IL, USA",USA,4,42.0693991,-87.682932
"Farmington Hills, MI, USA","Farmington Hills, MI, USA",USA,4,42.4853125,-83.3771553
"Fort Saint James, BC, Canada","Fort Saint James, BC, Canada",Canada,4,54.3942513,-124.2617051
"Glasgow, Scotland","Glasgow, Scotland",Scotland,4,55.861155,-4.2501687
"Goderich, ON, Canada","Goderich, ON, Canada",Canada,4,43.7430924,-81.7110949
"Granby, QC, Canada","Granby, QC, Canada",Canada,4,45.3990409,-72.721834
"Grand'Mere, QC, Canada","Grand'Mere, QC, Canada",Canada,4,46.612894,-72.69516
"Greenwich, CT, USA","Greenwich, CT, USA",USA,4,41.0264862,-73.6284598
"Grosse Pointe, MI, USA","Grosse Pointe, MI, USA",USA,4,42.3861485,-82.9118591
"Hameenlinna, Finland","Hameenlinna, Finland",Finland,4,60.9966192,24.465141
"Hancock, MI, USA","Hancock, MI, USA",USA,4,47.126871,-88.580956
"High River, AB, Canada","High River, AB, Canada",Canada,4,50.5801916,-113.8709332
"Huntsville, ON, Canada","Huntsville, ON, Canada",Canada,4,45.3263919,-79.218434
"Ilava, Slovakia","Ilava, Slovakia",Slovakia,4,48.9985674,18.2307598
"Joliette, QC, Canada","Joliette, QC, Canada",Canada,4,46.0239798,-73.4419936
"Kamsack, SK, Canada","Kamsack, SK, Canada",Canada,4,51.5645433,-101.8953088
"Kanata, ON, Canada","Kanata, ON, Canada",Canada,4,45.3659205,-75.9654674
"Khabarovsk, Russia","Khabarovsk, Russia",Russia,4,51.6312684,136.121524
"Kimberley, BC, Canada","Kimberley, BC, Canada",Canada,4,49.6850876,-115.9819477
"Kramfors, Sweden","Kramfors, Sweden",Sweden,4,62.916667,17.666667
"LaSalle, QC, Canada","LaSalle, QC, Canada",Canada,4,45.4325141,-73.6292667
"Lachute, QC, Canada","Lachute, QC, Canada",Canada,4,45.6560478,-74.3401388
"Lanigan, SK, Canada","Lanigan, SK, Canada",Canada,4,51.8457609,-105.033137
"Liberec, Czech Republic","Liberec, Czech Republic",Czech Republic,4,50.7702648,15.0583947
"Linkoping, Sweden","Linkoping, Sweden",Sweden,4,58.4098135,15.6245252
"Malartic, QC, Canada","Malartic, QC, Canada",Canada,4,48.137225,-78.125153
"Midland, ON, Canada","Midland, ON, Canada",Canada,4,44.750147,-79.885712
"Mont-Laurier, QC, Canada","Mont-Laurier, QC, Canada",Canada,4,46.5524071,-75.4968899
"Moosomin, SK, Canada","Moosomin, SK, Canada",Canada,4,50.1443787,-101.669059
"Munich, Germany","Munich, Germany",Germany,4,48.1371079,11.5753822
"Nepean, ON, Canada","Nepean, ON, Canada",Canada,4,45.2862008,-75.7512324
"Nizhnekamsk, Russia","Nizhnekamsk, Russia",Russia,4,55.6412879,51.8160376
"Nokia, Finland","Nokia, Finland",Finland,4,61.4781666,23.5096158
"Omaha, NE, USA","Omaha, NE, USA",USA,4,41.2587459,-95.9383758
"Orangeville, ON, Canada","Orangeville, ON, Canada",Canada,4,43.9193171,-80.0973754
"Orillia, ON, Canada","Orillia, ON, Canada",Canada,4,44.6066135,-79.4169256
"Paris, ON, Canada","Paris, ON, Canada",Canada,4,43.193234,-80.384281
"Park Ridge, IL, USA","Park Ridge, IL, USA",USA,4,42.0112329,-87.8406031
"Pelhrimov, Czech Republic","Pelhrimov, Czech Republic",Czech Republic,4,49.4308737,15.2232341
"Perm, Russia","Perm, Russia",Russia,4,58.0108531,56.2318528
"Phoenix, AZ, USA","Phoenix, AZ, USA",USA,4,33.4484367,-112.074141
"Pickering, ON, Canada","Pickering, ON, Canada",Canada,4,43.835765,-79.090576
"Pisek, Czech Republic","Pisek, Czech Republic",Czech Republic,4,49.3089887,14.147769
"Portage La Prairie, MB, Canada","Portage La Prairie, MB, Canada",Canada,4,49.972422,-98.289185
"Powell River, BC, Canada","Powell River, BC, Canada",Canada,4,49.835676,-124.524412
"Presov, Slovakia","Presov, Slovakia",Slovakia,4,49.0000074,21.2392122
"Raleigh, NC, USA","Raleigh, NC, USA",USA,4,35.7803977,-78.6390989
"Rockland, ON, Canada","Rockland, ON, Canada",Canada,4,45.5485795,-75.2915629
"Rocky Mountain House, AB, Canada","Rocky Mountain House, AB, Canada",Canada,4,52.3768803,-114.9183995
"Rossland, BC, Canada","Rossland, BC, Canada",Canada,4,49.0784756,-117.7999026
"Royal Oak, MI, USA","Royal Oak, MI, USA",USA,4,42.4894801,-83.1446485
"Saint-Jerome, QC, Canada","Saint-Jerome, QC, Canada",Canada,4,45.7780402,-74.0033272
"Sainte-Foy, QC, Canada","Sainte-Foy, QC, Canada",Canada,4,46.7743268,-71.2994438
"Salt Lake City, UT, USA","Salt Lake City, UT, USA",USA,4,40.7596198,-111.886797
"Sault Ste. Marie, MI, USA","Sault Ste. Marie, MI, USA",USA,4,46.4976734,-84.3476583
"Savonlinna, Finland","Savonlinna, Finland",Finland,4,61.8699236,28.8800088
"Scottsdale, AZ, USA","Scottsdale, AZ, USA",USA,4,33.4942189,-111.926018
"Sept-Iles, QC, Canada","Sept-Iles, QC, Canada",Canada,4,50.2109579,-66.3790642
"Sicamous, BC, Canada","Sicamous, BC, Canada",Canada,4,50.8367991,-118.9826386
"Smithers, BC, Canada","Smithers, BC, Canada",Canada,4,54.7792074,-127.1760991
"Smiths Falls, ON, Canada","Smiths Falls, ON, Canada",Canada,4,44.9013316,-76.0212062
"Smithtown, NY, USA","Smithtown, NY, USA",USA,4,40.8559314,-73.2006687
"Steinbach, MB, Canada","Steinbach, MB, Canada",Canada,4,49.5254414,-96.6854275
"Stettler, AB, Canada","Stettler, AB, Canada",Canada,4,52.3228746,-112.71302
"Stillwater, MN, USA","Stillwater, MN, USA",USA,4,45.0559126,-92.807572
"Sturgeon Falls, ON, Canada","Sturgeon Falls, ON, Canada",Canada,4,46.3653409,-79.9321566
"Sverdlovsk, Russia","Sverdlovsk, Russia",Russia,4,56.8382071,60.6007886
"Thorold, ON, Canada","Thorold, ON, Canada",Canada,4,43.1249127,-79.2005935
"Toledo, OH, USA","Toledo, OH, USA",USA,4,41.6529143,-83.5378173
"Trebic, Czech Republic","Trebic, Czech Republic",Czech Republic,4,49.2158752,15.8810841
"Truro, NS, Canada","Truro, NS, Canada",Canada,4,45.3656974,-63.2864971
"Tver, Russia","Tver, Russia",Russia,4,56.8596713,35.8952416
"Wainwright, AB, Canada","Wainwright, AB, Canada",Canada,4,52.8402725,-110.8514344
"Wakaw, SK, Canada","Wakaw, SK, Canada",Canada,4,52.6499347,-105.735836
"Warroad, MN, USA","Warroad, MN, USA",USA,4,48.905266,-95.314404
"Westlock, AB, Canada","Westlock, AB, Canada",Canada,4,54.1525241,-113.8519902
"White Bear Lake, MN, USA","White Bear Lake, MN, USA",USA,4,45.0838098,-93.0069304
"White Rock, BC, Canada","White Rock, BC, Canada",Canada,4,49.0235357,-122.797924
"Winkler, MB, Canada","Winkler, MB, Canada",Canada,4,49.187089,-97.937622
"Abington, PA, USA","Abington, PA, USA",USA,3,40.1145785,-75.1218107
"Alliston, ON, Canada","Alliston, ON, Canada",Canada,3,44.1539369,-79.8692321
"Alma, QC, Canada","Alma, QC, Canada",Canada,3,48.548887,-71.651459
"Anaheim, CA, USA","Anaheim, CA, USA",USA,3,33.8347516,-117.911732
"Angarsk, Russia","Angarsk, Russia",Russia,3,52.5443167,103.8882138
"Anjou, QC, Canada","Anjou, QC, Canada",Canada,3,45.6048982,-73.5466723
"Arlington, TX, USA","Arlington, TX, USA",USA,3,32.7355816,-97.1071186
"Arvida, QC, Canada","Arvida, QC, Canada",Canada,3,48.425897,-71.1821701
"Asbestos, QC, Canada","Asbestos, QC, Canada",Canada,3,45.776623,-71.932297
"Assiniboia, SK, Canada","Assiniboia, SK, Canada",Canada,3,49.6311192,-105.9926494
"Banff, AB, Canada","Banff, AB, Canada",Canada,3,51.175076,-115.5720773
"Bayfield, NB, Canada","Bayfield, NB, Canada",Canada,3,46.1369363,-63.8175385
"Beauport, QC, Canada","Beauport, QC, Canada",Canada,3,46.8983492,-71.2062892
"Bedford, NS, Canada","Bedford, NS, Canada",Canada,3,44.7303901,-63.6582365
"Beeton, ON, Canada","Beeton, ON, Canada",Canada,3,44.0789618,-79.784557
"Belfast, Northern Ireland","Belfast, Northern Ireland",Northern Ireland,3,54.596391,-5.9301829
"Belmont, MA, USA","Belmont, MA, USA",USA,3,42.3959296,-71.1786655
"Bemidji, MN, USA","Bemidji, MN, USA",USA,3,47.4723148,-94.8832791
"Bentley, AB, Canada","Bentley, AB, Canada",Canada,3,52.4685411,-114.0432772
"Big River, SK, Canada","Big River, SK, Canada",Canada,3,53.833333,-107.033333
"Billerica, MA, USA","Billerica, MA, USA",USA,3,42.5584264,-71.268947
"Birtle, MB, Canada","Birtle, MB, Canada",Canada,3,50.4218411,-101.0462012
"Boden, Sweden","Boden, Sweden",Sweden,3,65.8275004,21.6964105
"Bolton, ON, Canada","Bolton, ON, Canada",Canada,3,43.879548,-79.73826
"Borlange, Sweden","Borlange, Sweden",Sweden,3,60.4856426,15.4234561
"Boucherville, QC, Canada","Boucherville, QC, Canada",Canada,3,45.6050197,-73.4526144
"Braintree, MA, USA","Braintree, MA, USA",USA,3,42.2205956,-71.0041229
"Bramalea, ON, Canada","Bramalea, ON, Canada",Canada,3,43.70139,-79.6919794
"Brockton, MA, USA","Brockton, MA, USA",USA,3,42.0834335,-71.0183787
"Canora, SK, Canada","Canora, SK, Canada",Canada,3,51.636411,-102.4313006
"Canton, NY, USA","Canton, NY, USA",USA,3,44.5956163,-75.1690942
"Capreol, ON, Canada","Capreol, ON, Canada",Canada,3,46.705969,-80.922546
"Carlyle, SK, Canada","Carlyle, SK, Canada",Canada,3,49.6337518,-102.2669689
"Chambly, QC, Canada","Chambly, QC, Canada",Canada,3,45.4483467,-73.2936944
"Chapleau, ON, Canada","Chapleau, ON, Canada",Canada,3,47.8416702,-83.4036099
"Charlestown, MA, USA","Charlestown, MA, USA",USA,3,42.3778749,-71.0619957
"Cloquet, MN, USA","Cloquet, MN, USA",USA,3,46.7217279,-92.4613669
"Cobalt, ON, Canada","Cobalt, ON, Canada",Canada,3,47.3962288,-79.6856668
"Cobourg, ON, Canada","Cobourg, ON, Canada",Canada,3,43.9595998,-78.1677784
"Colorado Springs, CO, USA","Colorado Springs, CO, USA",USA,3,38.8339578,-104.825348
"Comox, BC, Canada","Comox, BC, Canada",Canada,3,49.6727575,-124.9276204
"Concord, NH, USA","Concord, NH, USA",USA,3,43.207178,-71.537476
"Coniston, ON, Canada","Coniston, ON, Canada",Canada,3,46.4867024,-80.8496581
"Craik, SK, Canada","Craik, SK, Canada",Canada,3,51.0515057,-105.8159306
"Cudworth, SK, Canada","Cudworth, SK, Canada",Canada,3,52.4895703,-105.7299987
"Darien, CT, USA","Darien, CT, USA",USA,3,41.0787079,-73.4692873
"Donnacona, QC, Canada","Donnacona, QC, Canada",Canada,3,46.676532,-71.73008
"Drayton Valley, AB, Canada","Drayton Valley, AB, Canada",Canada,3,53.2205548,-114.9832127
"Dryden, ON, Canada","Dryden, ON, Canada",Canada,3,49.785698,-92.835846
"Eganville, ON, Canada","Eganville, ON, Canada",Canada,3,45.5406943,-77.1004317
"Eksjo, Sweden","Eksjo, Sweden",Sweden,3,57.6674439,14.9735595
"Elektrostal, Russia","Elektrostal, Russia",Russia,3,55.7498843,38.4254338
"Elmira, NY, USA","Elmira, NY, USA",USA,3,42.0897965,-76.8077338
"Elmira, ON, Canada","Elmira, ON, Canada",Canada,3,43.5893917,-80.5507359
"Everett, MA, USA","Everett, MA, USA",USA,3,42.4085897,-71.0542002
"Flint, MI, USA","Flint, MI, USA",USA,3,43.0161693,-83.6900211
"Foam Lake, SK, Canada","Foam Lake, SK, Canada",Canada,3,51.647238,-103.5315944
"Fort Wayne, IN, USA","Fort Wayne, IN, USA",USA,3,41.0799898,-85.1386015
"Fridley, MN, USA","Fridley, MN, USA",USA,3,45.0838291,-93.2590388
"Gallivare, Sweden","Gallivare, Sweden",Sweden,3,67.3,20.25
"Golden, BC, Canada","Golden, BC, Canada",Canada,3,51.2992217,-116.9642955
"Goteborg, Sweden","Goteborg, Sweden",Sweden,3,57.7072326,11.9670171
"Grand Falls, NL, Canada","Grand Falls, NL, Canada",Canada,3,48.929718,-55.655365
"Grand Rapids, MI, USA","Grand Rapids, MI, USA",USA,3,42.9632425,-85.6678639
"Grimsby, ON, Canada","Grimsby, ON, Canada",Canada,3,43.1931661,-79.560677
"Haileybury, ON, Canada","Haileybury, ON, Canada",Canada,3,47.4441901,-79.6360804
"Haliburton, ON, Canada","Haliburton, ON, Canada",Canada,3,45.1525396,-78.5148132
"Hamiota, MB, Canada","Hamiota, MB, Canada",Canada,3,50.183333,-100.6
"Havlickuv Brod, Czech Republic","Havlickuv Brod, Czech Republic",Czech Republic,3,49.606942,15.5795748
"Hazelton, BC, Canada","Hazelton, BC, Canada",Canada,3,55.2553671,-127.670882
"Helsingborg, Sweden","Helsingborg, Sweden",Sweden,3,56.0442098,12.703706
"Hingham, MA, USA","Hingham, MA, USA",USA,3,42.2417669,-70.8897676
"Hudson Bay, SK, Canada","Hudson Bay, SK, Canada",Canada,3,52.8565978,-102.3968073
"Huntington Beach, CA, USA","Huntington Beach, CA, USA",USA,3,33.6783336,-118.000016
"Indianapolis, IN, USA","Indianapolis, IN, USA",USA,3,39.7683331,-86.1583502
"International Falls, MN, USA","International Falls, MN, USA",USA,3,48.601033,-93.4105904
"Iroquois Falls, ON, Canada","Iroquois Falls, ON, Canada",Canada,3,48.7672213,-80.6770998
"Jasper, AB, Canada","Jasper, AB, Canada",Canada,3,52.8752336,-118.0824291
"Jindrichuv Hradec, Czech Republic","Jindrichuv Hradec, Czech Republic",Czech Republic,3,49.1443265,15.003354
"Joensuu, Finland","Joensuu, Finland",Finland,3,62.6006375,29.7619759
"Kadan, Czech Republic","Kadan, Czech Republic",Czech Republic,3,50.3761991,13.2710364
"Kajaani, Finland","Kajaani, Finland",Finland,3,64.2246862,27.7339281
"Kalix, Sweden","Kalix, Sweden",Sweden,3,66,23
"Karlskrona, Sweden","Karlskrona, Sweden",Sweden,3,56.1621073,15.5866422
"Kelvington, SK, Canada","Kelvington, SK, Canada",Canada,3,52.1643973,-103.5228082
"King City, ON, Canada","King City, ON, Canada",Canada,3,43.929489,-79.5252267
"Labrador City, NL, Canada","Labrador City, NL, Canada",Canada,3,52.9422944,-66.9177291
"Lacombe, AB, Canada","Lacombe, AB, Canada",Canada,3,52.4727515,-113.733215
"Lansing, MI, USA","Lansing, MI, USA",USA,3,42.7338254,-84.5546295
"Leduc, AB, Canada","Leduc, AB, Canada",Canada,3,53.2607825,-113.5511681
"Leningrad, Russia","Leningrad, Russia",Russia,3,59.9606739,30.1586551
"Litomerice, Czech Republic","Litomerice, Czech Republic",Czech Republic,3,50.5340795,14.1317985
"Lulea, Sweden","Lulea, Sweden",Sweden,3,65.5831187,22.1459535
"Lumsden, SK, Canada","Lumsden, SK, Canada",Canada,3,50.6463023,-104.8659356
"Manchester, NH, USA","Manchester, NH, USA",USA,3,42.9956397,-71.4547891
"Mannville, AB, Canada","Mannville, AB, Canada",Canada,3,53.3373297,-111.1756071
"Maple Creek, SK, Canada","Maple Creek, SK, Canada",Canada,3,49.9056917,-109.4800219
"Maple Grove, MN, USA","Maple Grove, MN, USA",USA,3,45.0984983,-93.4419222
"Matane, QC, Canada","Matane, QC, Canada",Canada,3,48.8468883,-67.5295198
"Medford, MA, USA","Medford, MA, USA",USA,3,42.4184296,-71.1061639
"Melfort, SK, Canada","Melfort, SK, Canada",Canada,3,52.8613707,-104.6135544
"Merritt, BC, Canada","Merritt, BC, Canada",Canada,3,50.1124876,-120.7884149
"Milford, MI, USA","Milford, MI, USA",USA,3,42.5917805,-83.6000696
"Milwaukee, WI, USA","Milwaukee, WI, USA",USA,3,43.0386475,-87.9090751
"Montmagny, QC, Canada","Montmagny, QC, Canada",Canada,3,46.8529223,-70.3551125
"Moorhead, MN, USA","Moorhead, MN, USA",USA,3,46.8739081,-96.7538674
"Munkfors, Sweden","Munkfors, Sweden",Sweden,3,59.816667,13.5
"Murrayville, BC, Canada","Murrayville, BC, Canada",Canada,3,49.088493,-122.6133013
"Nokomis, SK, Canada","Nokomis, SK, Canada",Canada,3,51.510452,-105.008698
"North Sydney, NS, Canada","North Sydney, NS, Canada",Canada,3,46.2105845,-60.2470914
"Novopolotsk, Belarus","Novopolotsk, Belarus",Belarus,3,55.5348855,28.64519
"Nynashamn, Sweden","Nynashamn, Sweden",Sweden,3,58.9056457,17.9470987
"Oak Park, IL, USA","Oak Park, IL, USA",USA,3,41.8878145,-87.7887615
"Oklahoma City, OK, USA","Oklahoma City, OK, USA",USA,3,35.4729886,-97.5170536
"Olomouc, Czech Republic","Olomouc, Czech Republic",Czech Republic,3,49.5940567,17.251143
"Opava, Czech Republic","Opava, Czech Republic",Czech Republic,3,49.9389004,17.9024174
"Orland Park, IL, USA","Orland Park, IL, USA",USA,3,41.630663,-87.8536288
"Orlando, FL, USA","Orlando, FL, USA",USA,3,28.5421218,-81.379045
"Orleans, ON, Canada","Orleans, ON, Canada",Canada,3,45.4653654,-75.5035343
"Oskarshamn, Sweden","Oskarshamn, Sweden",Sweden,3,57.2632811,16.4443478
"Ostervala, Sweden","Ostervala, Sweden",Sweden,3,60.1809325,17.1780842
"Oxbow, SK, Canada","Oxbow, SK, Canada",Canada,3,49.2298181,-102.173666
"Parma, OH, USA","Parma, OH, USA",USA,3,41.3822398,-81.7355692
"Petawawa, ON, Canada","Petawawa, ON, Canada",Canada,3,45.8984286,-77.2826645
"Pierrefonds, QC, Canada","Pierrefonds, QC, Canada",Canada,3,45.4955083,-73.8471749
"Plano, TX, USA","Plano, TX, USA",USA,3,33.0136764,-96.6925096
"Pointe-aux-Trembles, QC, Canada","Pointe-aux-Trembles, QC, Canada",Canada,3,45.6747302,-73.5062328
"Port Huron, MI, USA","Port Huron, MI, USA",USA,3,42.9760854,-82.4333742
"Port McNeill, BC, Canada","Port McNeill, BC, Canada",Canada,3,50.5893452,-127.0839027
"Portland, OR, USA","Portland, OR, USA",USA,3,45.5202471,-122.674194
"Prescott, ON, Canada","Prescott, ON, Canada",Canada,3,44.7184132,-75.5191675
"Preston, ON, Canada","Preston, ON, Canada",Canada,3,43.3940076,-80.3555103
"Provost, AB, Canada","Provost, AB, Canada",Canada,3,52.4137383,-110.639576
"Quill Lake, SK, Canada","Quill Lake, SK, Canada",Canada,3,52.0725531,-104.253704
"Raahe, Finland","Raahe, Finland",Finland,3,64.6845313,24.4816349
"Rochester, MI, USA","Rochester, MI, USA",USA,3,42.680588,-83.1338214
"Saint Paul, MN, USA","Saint Paul, MN, USA",USA,3,44.9497487,-93.0931028
"Salem, MA, USA","Salem, MA, USA",USA,3,42.5195292,-70.8967226
"Salmon Arm, BC, Canada","Salmon Arm, BC, Canada",Canada,3,50.7005059,-119.2790529
"San Diego, CA, USA","San Diego, CA, USA",USA,3,32.7174202,-117.162772
"Seattle, WA, USA","Seattle, WA, USA",USA,3,47.6038321,-122.330062
"Shaunavon, SK, Canada","Shaunavon, SK, Canada",Canada,3,49.6507703,-108.410021
"Shawinigan, QC, Canada","Shawinigan, QC, Canada",Canada,3,46.5396581,-72.7518637
"Smooth Rock Falls, ON, Canada","Smooth Rock Falls, ON, Canada",Canada,3,49.2768,-81.6311885
"Solleftea, Sweden","Solleftea, Sweden",Sweden,3,63.383333,16.916667
"South St. Paul, MN, USA","South St. Paul, MN, USA",USA,3,44.8906694,-93.0372808
"Southborough, MA, USA","Southborough, MA, USA",USA,3,42.3056501,-71.5245087
"Staten Island, NY, USA","Staten Island, NY, USA",USA,3,40.5834557,-74.1496048
"Sternberk, Czech Republic","Sternberk, Czech Republic",Czech Republic,3,49.730712,17.2988474
"Stouffville, ON, Canada","Stouffville, ON, Canada",Canada,3,43.9717581,-79.2454446
"Strasbourg, SK, Canada","Strasbourg, SK, Canada",Canada,3,51.0704195,-104.9568557
"Sundbyberg, Sweden","Sundbyberg, Sweden",Sweden,3,59.3628802,17.9681359
"Sundridge, ON, Canada","Sundridge, ON, Canada",Canada,3,45.7710789,-79.3957685
"Swan River, MB, Canada","Swan River, MB, Canada",Canada,3,52.1076932,-101.2546797
"Terrace Bay, ON, Canada","Terrace Bay, ON, Canada",Canada,3,48.782437,-87.102356
"The Pas, MB, Canada","The Pas, MB, Canada",Canada,3,53.8224172,-101.2405153
"Thompson, MB, Canada","Thompson, MB, Canada",Canada,3,55.743347,-97.863464
"Thornhill, ON, Canada","Thornhill, ON, Canada",Canada,3,43.8219222,-79.4738223
"Tillsonburg, ON, Canada","Tillsonburg, ON, Canada",Canada,3,42.859494,-80.7265015
"Timra, Sweden","Timra, Sweden",Sweden,3,62.4922058,17.2995411
"Tingsryd, Sweden","Tingsryd, Sweden",Sweden,3,56.533333,14.966667
"Topolcany, Slovakia","Topolcany, Slovakia",Slovakia,3,48.5594345,18.1754394
"Troy, NY, USA","Troy, NY, USA",USA,3,42.7284117,-73.6917878
"Two Harbors, MN, USA","Two Harbors, MN, USA",USA,3,47.0257139,-91.6730523
"Unity, SK, Canada","Unity, SK, Canada",Canada,3,52.4428508,-109.1548985
"Usti nad Labem, Czech Republic","Usti nad Labem, Czech Republic",Czech Republic,3,50.6603327,14.0381357
"Utica, NY, USA","Utica, NY, USA",USA,3,43.1009031,-75.2326641
"Vienna, Austria","Vienna, Austria",Austria,3,48.2083537,16.3725042
"Wakefield, MA, USA","Wakefield, MA, USA",USA,3,42.506484,-71.0728306
"Wallaceburg, ON, Canada","Wallaceburg, ON, Canada",Canada,3,42.5928652,-82.3873866
"Warren, MI, USA","Warren, MI, USA",USA,3,42.4932575,-83.0062746
"Warwick, RI, USA","Warwick, RI, USA",USA,3,41.6992717,-71.4586114
"Watson, SK, Canada","Watson, SK, Canada",Canada,3,52.1293715,-104.5236191
"Waubaushene, ON, Canada","Waubaushene, ON, Canada",Canada,3,44.754404,-79.710969
"West Vancouver, BC, Canada","West Vancouver, BC, Canada",Canada,3,49.3311208,-123.159479
"Wilcox, SK, Canada","Wilcox, SK, Canada",Canada,3,50.097679,-104.7258
"Williamsville, NY, USA","Williamsville, NY, USA",USA,3,42.9637836,-78.7377258
"Willowdale, ON, Canada","Willowdale, ON, Canada",Canada,3,43.7615095,-79.4109234
"Worcester, MA, USA","Worcester, MA, USA",USA,3,42.2625621,-71.8018877
"Yellowknife, NT, Canada","Yellowknife, NT, Canada",Canada,3,62.4540807,-114.377385
"Ylojarvi, Finland","Ylojarvi, Finland",Finland,3,61.5488965,23.5951425
"100 Mile House, BC, Canada","100 Mile House, BC, Canada",Canada,2,51.6427866,-121.2956943
"Aalborg, Denmark","Aalborg, Denmark",Denmark,2,57.0462626,9.9215263
"Acton, MA, USA","Acton, MA, USA",USA,2,42.4850931,-71.43284
"Agincourt, ON, Canada","Agincourt, ON, Canada",Canada,2,43.7853531,-79.2785494
"Albany, NY, USA","Albany, NY, USA",USA,2,42.6511674,-73.754968
"Aldergrove, BC, Canada","Aldergrove, BC, Canada",Canada,2,49.0596635,-122.4922381
"Allan, SK, Canada","Allan, SK, Canada",Canada,2,51.8960544,-106.0554168
"Amherst, NS, Canada","Amherst, NS, Canada",Canada,2,45.8192941,-64.2333504
"Amos, QC, Canada","Amos, QC, Canada",Canada,2,48.5718519,-78.1160856
"Angelholm, Sweden","Angelholm, Sweden",Sweden,2,56.2429224,12.8619375
"Apple Valley, MN, USA","Apple Valley, MN, USA",USA,2,44.7319094,-93.21772
"Are, Sweden","Are, Sweden",Sweden,2,63.4010888,13.0822241
"Arkhangelsk, Russia","Arkhangelsk, Russia",Russia,2,64.5410251,40.5286774
"Arlington Heights, IL, USA","Arlington Heights, IL, USA",USA,2,42.0811563,-87.9802164
"Arlington, MA, USA","Arlington, MA, USA",USA,2,42.4153739,-71.1564428
"Arnprior, ON, Canada","Arnprior, ON, Canada",Canada,2,45.433515,-76.3543692
"Atlanta, GA, USA","Atlanta, GA, USA",USA,2,33.7544657,-84.3898151
"Bancroft, ON, Canada","Bancroft, ON, Canada",Canada,2,45.0570769,-77.8537127
"Bashaw, AB, Canada","Bashaw, AB, Canada",Canada,2,52.583333,-112.966667
"Baudette, MN, USA","Baudette, MN, USA",USA,2,48.7124408,-94.600171
